key	l1_num	l2_num	activity_num	activity_item_num	l1_topic	l2_topic	activity	item
1.05.A07.01	1	5	7	1	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Intangible Cultural Heritage and Traditional Arts	Establishing a National Research Institute for intangible heritage and traditional arts, identifying and preserving existing heritage.
1.05.A07.02	1	5	7	2	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Intangible Cultural Heritage and Traditional Arts	Reforming and promoting regional knowledge, tools, gurukula, traditions, and human resources continuously from the regional level to the national and international levels.
1.05.A07.03	1	5	7	3	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Intangible Cultural Heritage and Traditional Arts	Developing programs to integrate tourism with this sector, to ensure that cultural heritage becomes a significant part of the tourism industry.
1.05.A07.04	1	5	7	4	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Intangible Cultural Heritage and Traditional Arts	Promoting sub-sectors related to intangible heritage, such as traditional medicine, production of eco-friendly products, entertainment industries, and mental wellness promotion.
1.05.A07.05	1	5	7	5	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Intangible Cultural Heritage and Traditional Arts	Fostering relationships with international universities and research institutions related to this field and facilitating postgraduate studies.
1.05.A07.06	1	5	7	6	A fulfilling life - A comfortable country	A rich cultural life - A compassionate society	Intangible Cultural Heritage and Traditional Arts	Identifying, networking, and updating traditional artists, gurukuls, and craft institutions to ensure their continued relevance and vitality.
1.06.A01.01	1	6	1	1	A fulfilling life - A comfortable country	A conserved history - Innovating across heritage	Research and Analysis	Research on the impact of history, culture, and heritage on social and economic sectors
1.06.A01.02	1	6	1	2	A fulfilling life - A comfortable country	A conserved history - Innovating across heritage	Research and Analysis	Analysis of successful international practices that have integrated history, culture, and heritage into national development plans
1.06.A01.03	1	6	1	3	A fulfilling life - A comfortable country	A conserved history - Innovating across heritage	Research and Analysis	Assessment of the value of investing in national heritage values for social innovation, entrepreneurship, job creation, education, and international relations
1.06.A02.01	1	6	2	1	A fulfilling life - A comfortable country	A conserved history - Innovating across heritage	Stakeholder Engagement	Organizing workshops and conferences to promote collaboration among government institutions, private sector, academic community, and local populations in the field of history, culture, and heritage
1.06.A02.02	1	6	2	2	A fulfilling life - A comfortable country	A conserved history - Innovating across heritage	Stakeholder Engagement	Enhancing the understanding of cultural heritage and historical values among stakeholders beyond their current roles in protecting and managing cultural resources
1.06.A03.01	1	6	3	1	A fulfilling life - A comfortable country	A conserved history - Innovating across heritage	Education and Awareness	Organizing educational programs and distributing instructional materials to raise awareness of the value of history, culture, and heritage
1.06.A03.02	1	6	3	2	A fulfilling life - A comfortable country	A conserved history - Innovating across heritage	Education and Awareness	Incorporating topics related to history, culture, and heritage into school curricula and community-based education programs
1.07.A01.01	1	7	1	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Proper Land Use	Designation and protection of ecologically sensitive areas
1.07.A01.02	1	7	1	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Proper Land Use	Identification, management, and risk reduction of natural disaster-prone areas
1.07.A01.03	1	7	1	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Proper Land Use	Development and implementation of scientifically developed sustainable land- use plans in agricultural, industrial and residential uses
1.07.A01.04	1	7	1	4	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Proper Land Use	Conservation of areas with mineral resources for sustainable economic operations
1.07.A01.05	1	7	1	5	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Proper Land Use	Implementation of existing guidelines for soil conservation and development of new recommendations as needed
1.07.A02.01	1	7	2	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Safe Water Consumption	Studying the all kinds of water sources in Sri Lanka, conduct sensitivity assessments and conservation of sensitive water sources via Gazettes.
1.07.A02.02	1	7	2	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Safe Water Consumption	Identification of causes of water pollution and adopting actions to minimize it
1.07.A02.03	1	7	2	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Safe Water Consumption	Preparation of a basic water map based on data gathered by a chemical and physical parameters analysis of all water sources
1.07.A02.04	1	7	2	4	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Safe Water Consumption	Activation of river systems for restoration and conservation of traditional water management practices.
1.07.A02.05	1	7	2	5	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Safe Water Consumption	Calculation of minimum requirements for water storage and introducing methods for replenishing surface and underground water resources.
1.07.A02.06	1	7	2	6	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Safe Water Consumption	Maintaining minimum environmental flow in rivers during domestic, agricultural, and industrial water usage.
1.07.A02.07	1	7	2	7	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Safe Water Consumption	Introduction and regulation of scientific methods for treating wastewater from domestic and industrial activities.
1.07.A03.01	1	7	3	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainability of Marine and Coastal Zone	Complete termination of direct or indirect disposal of pollutants into the coastal and marine environment.
1.07.A03.02	1	7	3	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainability of Marine and Coastal Zone	Identification and protection of sensitive environmental systems in coastal zones.
1.07.A03.03	1	7	3	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainability of Marine and Coastal Zone	Scientifically determining and preserving the conservation zones of beaches and lagoons.
1.07.A03.04	1	7	3	4	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainability of Marine and Coastal Zone	Emergency preparedness plans with institutional leadership and community involvement to minimize the accidental marine environmental damages.
1.07.A03.05	1	7	3	5	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainability of Marine and Coastal Zone	Development of legal frameworks and procedures for assessing and compensating environmental damage caused by marine pollution.
1.07.A03.06	1	7	3	6	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainability of Marine and Coastal Zone	Implementation of laws as per the international Conventions and Treaties to ensure sustainable use of marine resources including fish and prevention of marine waters.
1.07.A03.07	1	7	3	7	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainability of Marine and Coastal Zone	Development of coastal areas and tourist attractions that are culturally significant, into well-developed beautiful ecological belts.
1.07.A03.08	1	7	3	8	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainability of Marine and Coastal Zone	Identification and protection of areas where marine life is naturally abundant and ensure maintaining the water quality parameters.
1.07.A04.01	1	7	4	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Existence of Clean Air	Introduction of suitable and fast-growing timber species for maintaining the atmospheric balance.
1.07.A04.02	1	7	4	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Existence of Clean Air	Planting, consumption, and replanting of trees to contribute to carbon sequestration.
1.07.A04.03	1	7	4	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Existence of Clean Air	Promotion and regulation of alternative energy sources in industry and transportation sectors to minimize air pollution from stationery and mobile sources.
1.07.A04.04	1	7	4	4	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Existence of Clean Air	Diplomatic intervention to avoid or mitigate trans boundary air pollution.
1.07.A04.05	1	7	4	5	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Existence of Clean Air	Introduce programs to increase public awareness and perceptions to minimize air pollution
1.07.A05.01	1	7	5	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Legal and Ethical framework for Environmental Conventions	Reviewing and update addressing weaknesses, deficiencies, and gaps in existing environmental regulations also aligning with international agreements and local environmental laws.
1.07.A05.02	1	7	5	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Legal and Ethical framework for Environmental Conventions	Public Consultation will be made mandatory in conducting feasibility studies for development projects.
1.07.A05.03	1	7	5	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Legal and Ethical framework for Environmental Conventions	Updating the criteria for environmental assessments ensuring the transparency of process.
1.07.A05.04	1	7	5	4	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Legal and Ethical framework for Environmental Conventions	Implementing Strategic Environmental Assessments (SEAs).
1.07.A05.05	1	7	5	5	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Legal and Ethical framework for Environmental Conventions	Raising public awareness about environmental policies and laws through printed, electronic, and social media.
1.07.A07.01	1	7	7	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Hilly areas	Management of forests on mountain ridges/ steep slopes with strict control on use of such for economic and social purposes.
1.07.A07.02	1	7	7	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Hilly areas	Reviewing ecosystems and developing a unified data system to highlight their environmental and economic importance.
1.07.A07.03	1	7	7	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Hilly areas	Conducting cost-benefit analysis and environmental assessment to determine whether to maintain, replace, or restore plantations in hilly areas.
1.07.A08.01	1	7	8	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Lowlands	Management and conservation of all lands according to land-use policies and principles.
1.07.A08.02	1	7	8	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Lowlands	Introduction of early warning systems for natural disasters, management of human activities, and implementation of compensation and insurance mechanisms,
1.07.A08.03	1	7	8	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Lowlands	Promotion of community-based agroforestry, and agricultural plantation practices.
1.07.A09.01	1	7	9	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Wetlands	Identification and documentation of wetlands in Sri Lanka and taking necessary steps for their conservation.
1.07.A09.02	1	7	9	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Wetlands	Ensure conservation of existing and future Ramsar wetlands and enhance tourist attractions of them. Restoration of degraded wetlands through multi-stakeholder engagement and community participation.
1.07.A09.03	1	7	9	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Wetlands	Strengthen inter-agency coordination for integrated wetland management activities.
1.07.A10.01	1	7	10	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Mangroves	Reviewing and implementing national policies on mangrove ecosystems.
1.07.A10.02	1	7	10	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Mangroves	Taking legal measures for the protection of mangrove ecosystems due to their ecological importance.
1.07.A11.01	1	7	11	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Forests and Wildlife	Identification of integrated forest and wildlife conservation zones and establishing new protected areas.
1.07.A11.02	1	7	11	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Forests and Wildlife	Providing public awareness to eliminate myths and unnecessary financial values given to elephant tusks, pearls, fibers and other animal parts.
1.07.A11.03	1	7	11	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Forests and Wildlife	Improve natural habitats of wild animals to provide food and water for all wildlife to minimize their intrusion into villages.
1.07.A11.04	1	7	11	4	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Forests and Wildlife	Introduce electric fences to prevent elephant movement to villages and maintain them with the help of community participation.
1.07.A11.05	1	7	11	5	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Forests and Wildlife	Studying and managing human-wildlife conflicts, such as elephant-human interactions, with appropriate techniques and public involvement.
1.07.A11.06	1	7	11	6	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Forests and Wildlife	Conducting studies on harmful wildlife such as monkeys and wild boar, and implementing necessary biological control methods.
1.07.A11.07	1	7	11	7	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Forests and Wildlife	Improving facilities for ex-situ conservation and promoting public engagement and educational research
1.07.A11.08	1	7	11	8	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Forests and Wildlife	Enhancing in-situ conservation facilities for plant and animal species
1.07.A11.09	1	7	11	9	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Forests and Wildlife	Managing and conserving natural forest cover to maintain environmental services
1.07.A11.10	1	7	11	10	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Forests and Wildlife	Controlling and preventing the spread of invasive species
1.07.A12.01	1	7	12	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainable Solid Waste Management	Updating legal frameworks and improving infrastructure for waste management in residential, agricultural, industrial and service sectors, based on zero waste 3R (Reduce, Reuse, Recycle) principles and circular economic concept
1.07.A12.02	1	7	12	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainable Solid Waste Management	Preparation and Implementation of a National Solid Waste Management Action plan, reviewing the current solid waste management plans and related policies
1.07.A12.03	1	7	12	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainable Solid Waste Management	Make it mandatory to adopt a waste management programs for residential, high- rise, service, and industrial buildings/ sector developments
1.07.A12.04	1	7	12	4	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainable Solid Waste Management	Reducing plastic and polythene use through extended producer responsibility schemes
1.07.A12.05	1	7	12	5	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainable Solid Waste Management	Proper management and safe disposal of hazardous and electronic waste
1.07.A12.06	1	7	12	6	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainable Solid Waste Management	Developing infrastructure for adopting modern final waste disposal methods like sanitary landfills, waste-to-energy and resource recovery facilities
1.07.A12.07	1	7	12	7	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Sustainable Solid Waste Management	Promote industries to adopt the zero-waste method and locate every industry within the industrial zones whenever possible.
1.07.A13.01	1	7	13	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Management of home garden-related resources	Granting permits for non-commercial activities such as clearing extra land, obtaining soil to build foundations for home construction
1.07.A13.02	1	7	13	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Management of home garden-related resources	Allowing the removal and transportation of a tree planted in a home garden to obtain timber subject to conservation measures
1.07.A13.03	1	7	13	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Management of home garden-related resources	Introducing eco-friendly criteria for domestic animal husbandry.
1.07.A14.01	1	7	14	1	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Relationships and values between ecosystems	Conducting research and studies to reveal the inverse and reverse relationships between ecosystems, and its relations with humans
1.07.A14.02	1	7	14	2	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Relationships and values between ecosystems	Implementing formal and informal methods of environmental education
1.07.A14.03	1	7	14	3	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Relationships and values between ecosystems	Conducting research on ecosystems, publishing research results and obtaining patent rights and maintaining a genetic database of ecosystems and working to stop gene theft.
1.07.A14.04	1	7	14	4	A fulfilling life - A comfortable country	A sustainable biotic world - An Avergreen life	Relationships and values between ecosystems	Securing the attractive ecosystems for the tourism industry.
2.01.A02.01	2	1	2	1	An honourable life - A safer country	A safer society - An enriched nation	Prajashakthi: Poverty alleviation programme for low-income	Providing a minimum monthly financial grant from Rs. 10,000 upwards to low- income families
2.01.A02.02	2	1	2	2	An honourable life - A safer country	A safer society - An enriched nation	Prajashakthi: Poverty alleviation programme for low-income	Introduction of a participatory, transparent and efficient beneficiary selection process
2.01.A02.03	2	1	2	3	An honourable life - A safer country	A safer society - An enriched nation	Prajashakthi: Poverty alleviation programme for low-income	Introducing a digital platform for identifying eligible beneficiaries using new criteria within a year and providing financial assistance to all qualifying individuals.
2.01.A03.01	2	1	3	1	An honourable life - A safer country	A safer society - An enriched nation	Empowerment	A comprehensive participatory study on the causes of poverty and family dynamics in low-income households.
2.01.A03.02	2	1	3	2	An honourable life - A safer country	A safer society - An enriched nation	Empowerment	Identification, analysis and developing remedies for poverty and vulnerabilities at the household level through community-based projects.
2.01.A03.03	2	1	3	3	An honourable life - A safer country	A safer society - An enriched nation	Empowerment	Facilitating the implementation of these projects through public-private partnerships and the involvement of the cooperative sector.
2.01.A03.04	2	1	3	4	An honourable life - A safer country	A safer society - An enriched nation	Empowerment	Establishment of training, technical assistance and financial assistance for low- income families to initiate income generation and livelihood projects
2.01.A03.05	2	1	3	5	An honourable life - A safer country	A safer society - An enriched nation	Empowerment	Efficient use of the Samurdhi Banking system and staff to empower poor families.
2.01.A03.06	2	1	3	6	An honourable life - A safer country	A safer society - An enriched nation	Empowerment	Assigning a field officer for every 100 families for monitoring and to provide continuous sup port
2.01.A04.01	2	1	4	1	An honourable life - A safer country	A safer society - An enriched nation	A healthy and happy retirement for senior c itizens	Providin g a monthly allowance of Rs. 5,000 to senior citizens needing assistance.
2.01.A04.02	2	1	4	2	An honourable life - A safer country	A safer society - An enriched nation	A healthy and happy retirement for senior c itizens	Establishment of new elderly care centers at the divisional secretariat level.
2.01.A04.03	2	1	4	3	An honourable life - A safer country	A safer society - An enriched nation	A healthy and happy retirement for senior c itizens	Government support and regulation of private care centers.
2.01.A04.04	2	1	4	4	An honourable life - A safer country	A safer society - An enriched nation	A healthy and happy retirement for senior c itizens	Professional training for care workers and incentives for small and medium institutions involved in elderly care.
2.01.A04.05	2	1	4	5	An honourable life - A safer country	A safer society - An enriched nation	A healthy and happy retirement for senior c itizens	Investment of retirement Funds, such as the Employee Provident Fund, in safe and high-return investments.
2.01.A04.06	2	1	4	6	An honourable life - A safer country	A safer society - An enriched nation	A healthy and happy retirement for senior c itizens	Provision of incentives for financial and insurance services to ensure the safety of pension funds and continuous benefits.
2.01.A04.07	2	1	4	7	An honourable life - A safer country	A safer society - An enriched nation	A healthy and happy retirement for senior c itizens	An interest rate that is 5% higher than the normal bank rate(s) for senior citizens’ fixed deposits. A Meaningful and Satisfactory Life for Persons with Disabilities
2.01.A04.08	2	1	4	8	An honourable life - A safer country	A safer society - An enriched nation	A healthy and happy retirement for senior c itizens	Establishment of a comprehensive data-base, developed by experts, on persons with disabilities
2.01.A04.09	2	1	4	9	An honourable life - A safer country	A safer society - An enriched nation	A healthy and happy retirement for senior c itizens	Provision of a monthly financial aid of Rs. 10,000 to persons with disabilities in low-income families.
2.01.A04.10	2	1	4	10	An honourable life - A safer country	A safer society - An enriched nation	A healthy and happy retirement for senior c itizens	Facilitating education, training, employment, and livelihoods opportunities for persons with disabilities.
2.01.A05.01	2	1	5	1	An honourable life - A safer country	A safer society - An enriched nation	Social protection for women-headed families, single parent	Financial assistance for affected individuals (of the above categories) based on needs and income levels.
2.01.A05.02	2	1	5	2	An honourable life - A safer country	A safer society - An enriched nation	Social protection for women-headed families, single parent	Legal aid and counseling services are offered based on needs and requests.
2.01.A05.03	2	1	5	3	An honourable life - A safer country	A safer society - An enriched nation	Social protection for women-headed families, single parent	Provision of alternative housing and job support when needed.
2.01.A05.04	2	1	5	4	An honourable life - A safer country	A safer society - An enriched nation	Social protection for women-headed families, single parent	Establishment of mechanisms for social and psychological support for women affected by violence an d abuse.
2.01.A06.01	2	1	6	1	An honourable life - A safer country	A safer society - An enriched nation	Health: Social Protection for Persons with Chronic Illnesses	Creating a digital data repository of individuals with chronic illnesses such as cancer and kidney disease.
2.01.A06.02	2	1	6	2	An honourable life - A safer country	A safer society - An enriched nation	Health: Social Protection for Persons with Chronic Illnesses	A minimum monthly financial grant of Rs. 10,000 to persons with chronic illnesses on a needs basis.
2.01.A06.03	2	1	6	3	An honourable life - A safer country	A safer society - An enriched nation	Health: Social Protection for Persons with Chronic Illnesses	Professiona l support and social empowerment.
2.01.A07.01	2	1	7	1	An honourable life - A safer country	A safer society - An enriched nation	Nourishing Future Generations: Reducing Malnutrition	Identifying low-income families with malnourished children.
2.01.A07.02	2	1	7	2	An honourable life - A safer country	A safer society - An enriched nation	Nourishing Future Generations: Reducing Malnutrition	Educating parents about measures to combat malnutrition.
2.01.A07.03	2	1	7	3	An honourable life - A safer country	A safer society - An enriched nation	Nourishing Future Generations: Reducing Malnutrition	Provision of financial assistance through field officers for obtaining nutritious food for families with urgent needs.
2.01.A08.01	2	1	8	1	An honourable life - A safer country	A safer society - An enriched nation	Nutritional Program for Pregnant Women	Identifying pregnant women needing additional nutrition through community health services.
2.01.A08.02	2	1	8	2	An honourable life - A safer country	A safer society - An enriched nation	Nutritional Program for Pregnant Women	Provision of financial support for nutritious food packages during pregnancy and the first year of childbirth for low-income families.
2.01.A08.03	2	1	8	3	An honourable life - A safer country	A safer society - An enriched nation	Nutritional Program for Pregnant Women	Continuous awareness and monitoring by family health officers.
2.01.A09.01	2	1	9	1	An honourable life - A safer country	A safer society - An enriched nation	Safety: Adequate Care for Children	Establishment of Childcare Centers at the Gramaniladari level with public and private partnerships based on needs and requests.
2.01.A09.02	2	1	9	2	An honourable life - A safer country	A safer society - An enriched nation	Safety: Adequate Care for Children	Registration of existing institutions with adequate qualifications for childcare.
2.01.A09.03	2	1	9	3	An honourable life - A safer country	A safer society - An enriched nation	Safety: Adequate Care for Children	Training of staff for the effective management of Childcare Centers and monitoring their performance.
2.01.A09.04	2	1	9	4	An honourable life - A safer country	A safer society - An enriched nation	Safety: Adequate Care for Children	Appointment of social service/development officers to provide professional services and provision of incentives for small and medium scale entrepreneurs to provide such services.
2.01.A10.01	2	1	10	1	An honourable life - A safer country	A safer society - An enriched nation	Pension Scheme for all citizens	Development and implementation of a broad pension policy applicable to all workers in the country.
2.01.A10.02	2	1	10	2	An honourable life - A safer country	A safer society - An enriched nation	Pension Scheme for all citizens	Establishing a government-certified pension fund under the supervision of the Department of Pensions and the Central Bank.
2.01.A10.03	2	1	10	3	An honourable life - A safer country	A safer society - An enriched nation	Pension Scheme for all citizens	Motivating all citizens, who are currently not employed in the Government or Corporate sector such as farmers and fishermen and others to join the pension scheme.
2.01.A10.04	2	1	10	4	An honourable life - A safer country	A safer society - An enriched nation	Pension Scheme for all citizens	Using the pension fund as an insurance scheme during emergencies/disability.
2.02.A01.01	2	2	1	1	An honourable life - A safer country	An efficient workforce - A respectable professional life	Unemployed graduates:	20,000 to the teaching profession.
2.02.A01.02	2	2	1	2	An honourable life - A safer country	An efficient workforce - A respectable professional life	Unemployed graduates:	3,000 STEM graduates and 9,000 non-STEM graduates to the information technology sector.
2.02.A01.03	2	2	1	3	An honourable life - A safer country	An efficient workforce - A respectable professional life	Unemployed graduates:	Another 3,000 to the Inland Revenue Department, Customs Department, Foreign Service, and tourism industry.
2.07.A01.01	2	7	1	1	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Optimal Service Management and Administration	Amend existing laws related to persons with disabilities, introduce new legislation, and enforce international conventions such as the UNCRDP (UN Convention on the Rights of Persons with Disabilities).
2.07.A01.02	2	7	1	2	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Optimal Service Management and Administration	Develop a national plan for persons with disabilities.
2.07.A01.03	2	7	1	3	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Optimal Service Management and Administration	Establish an evaluation framework to measure the effectiveness of services provided to persons with disabilities.
2.07.A01.04	2	7	1	4	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Optimal Service Management and Administration	Create an online information center to provide families of people with disabilities access to resources and information about government policies.
2.07.A01.05	2	7	1	5	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Optimal Service Management and Administration	Increase awareness, training, and support for persons with disabilities to use modern technology effectively.
2.07.A02.01	2	7	2	1	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Education	Provide high-quality, affordable, inclusive, and accessible early childhood education.
2.07.A02.02	2	7	2	2	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Education	Ensure inclusive education for school students with disabilities.
2.07.A02.03	2	7	2	3	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Education	Expand the knowledge and awareness of inclusive education among schoolteachers, NGO representatives, and university lecturers.
2.07.A02.04	2	7	2	4	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Education	Facilitate the inclusion of sign language-trained teachers in schools.
2.07.A02.05	2	7	2	5	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Education	Provide facilities for sign language interpreters in public and private institutions.
2.07.A02.06	2	7	2	6	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Education	Establish special education and child development resource centers in every educational zone.
2.07.A02.07	2	7	2	7	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Education	Ensure communication and IT facilities in primary and secondary schools for students with disabilities.
2.07.A02.08	2	7	2	8	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Education	Promote sports and extracurricular activities at provincial and national levels for students with disabilities.
2.07.A02.09	2	7	2	9	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Education	Offer tax incentives to non-profit care institutions for persons with disabilities.
2.07.A02.10	2	7	2	10	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Education	Provide vocational guidance and counseling services for persons with disabilities.
2.07.A03.01	2	7	3	1	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Economic Independence	Enforce the allocation of 3% of jobs in public and private sectors for the disabled community, and gradually increase this quota to 5%.
2.07.A03.02	2	7	3	2	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Economic Independence	Encourage employment opportunities, business ownership and development, self-employment, and entrepreneurship for persons with disabilities.
2.07.A03.03	2	7	3	3	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Economic Independence	Strengthen networks of persons with disabilities in workplaces to promote integration so that they can communicate their challenges with each other.
2.07.A03.04	2	7	3	4	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Economic Independence	Expand financial assistance for low-income families with persons with disabilities to engage in self-employment
2.07.A04.01	2	7	4	1	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Health and Well-being	Providing professional skills and attitudes of healthcare providers to meet the healthcare needs of persons with disabilities.
2.07.A04.02	2	7	4	2	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Health and Well-being	Improve accessibility to public spaces and services.
2.07.A04.03	2	7	4	3	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Health and Well-being	Introduce health facilities for the early identification of autism and other developmental disabilities and intervene to minimize their development.
2.07.A04.04	2	7	4	4	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Health and Well-being	Provide priority pass cards to facilitate the identification and access to services for persons with disabilities.
2.07.A04.05	2	7	4	5	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Health and Well-being	Promotion of community-based rehabilitation services through rehabilitation hospitals at the Medical Officer of Health (MOH) level and district level
2.07.A05.01	2	7	5	1	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Security, Rights and Justice	Assist persons with disabilities when applying for government positions.
2.07.A05.02	2	7	5	2	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Security, Rights and Justice	Promote positive attitudes among transport staff and the public towards persons with disabilities in public transportation.
2.07.A05.03	2	7	5	3	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Security, Rights and Justice	Providing legal support and ensuring access to courts.
2.07.A06.01	2	7	6	1	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Public Services and Community Support	Ensure the safety and accessibility of persons with disabilities when designing buildings.
2.07.A06.02	2	7	6	2	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Public Services and Community Support	Expand opportunities for persons with disabilities to participate in social, religious, cultural activities, and recreational sports.
2.07.A06.03	2	7	6	3	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Public Services and Community Support	Enforce standards and provide specialized transport services to facilitate the use of public and private transportation for persons with disabilities.
2.07.A06.04	2	7	6	4	An honourable life - A safer country	An unimpaired social life - An fair and equitable approach	Public Services and Community Support	Improve accessibility to online services for persons with disabilities.
